Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Month
Call of Duty (callofduty),135542280,5910,80650,22933,955025,23811,1845638,True,True,English,5-2019
Call of Duty (callofduty),80445600,3390,62366,23729,955025,18886,1236448,True,True,English,7-2019
CapcomFighters,64718145,1710,84858,37846,340146,7553,3352527,True,False,English,12-2019
Castro_1021,280674015,10875,125133,25808,2355070,96952,3155136,True,False,English,1-2020
Castro_1021,179980155,11025,48265,16324,2355070,50041,2398908,True,False,English,10-2019
Castro_1021,166100535,9990,65874,16626,2355070,50060,1813774,True,False,English,4-2020
Castro_1021,154052460,7845,45438,19636,2355070,44920,1499330,True,False,English,2-2020
Castro_1021,153334170,9600,60557,15971,2355070,34705,1714672,True,False,English,3-2020
Castro_1021,148841655,8685,38605,17137,2355070,49136,1729594,True,False,English,12-2019
Castro_1021,148189785,8340,48739,17768,2355070,41646,1821564,True,False,English,11-2019
Castro_1021,136306785,6810,39701,20015,2355070,55589,3046489,True,False,English,9-2019
Castro_1021,121657395,8175,50423,14881,2355070,25302,1569513,True,False,English,5-2019
Castro_1021,90656850,8100,24149,11191,2355070,22294,1226877,True,False,English,4-2019
Chap,120816270,16305,71415,7409,1204140,76185,2312051,True,False,English,7-2019
Chap,86182440,16095,43981,5354,1204103,75712,2100604,True,False,English,5-2019
Chap,69878205,14280,29969,4893,1204103,72355,1899636,True,False,English,4-2019
Chap,63050955,16665,13883,3782,1204140,69721,1833842,True,False,English,8-2019
Chess,74248050,10800,21873,6874,192119,7719,12895250,True,False,English,10-2019
Chess,73098570,14265,20472,5123,192119,7961,12972769,True,False,English,1-2020
Clix,77201865,9135,25368,8450,1288190,94710,2090866,True,False,English,12-2019
Clix,72512250,8550,25900,8480,1288190,114501,2013319,True,False,English,3-2020
Clix,70467210,7830,28048,8999,1288190,80462,1692960,True,False,English,1-2020
CohhCarnage,196565940,13185,43615,14907,1241292,19126,3974487,True,False,English,11-2019
CohhCarnage,190122915,16185,38475,11746,1241284,6351,4418138,True,False,English,4-2020
CohhCarnage,156883260,14070,24954,11149,1241292,13639,2772797,True,False,English,12-2019
CohhCarnage,155350575,13755,24807,11293,1241292,12325,2751260,True,False,English,9-2019
CohhCarnage,153700830,13515,31619,11372,1241292,11998,2709081,True,False,English,1-2020
CohhCarnage,151968210,14070,27291,10800,1241292,14898,3911065,True,False,English,8-2019
CohhCarnage,144281400,13365,26766,10794,1241282,9383,2761074,True,False,English,3-2020
CohhCarnage,134423910,12600,31756,10667,1241292,7707,2554013,True,False,English,10-2019
CohhCarnage,123498735,11595,28786,10650,1241292,6280,4213012,True,False,English,2-2020
CohhCarnage,113005515,12510,15735,9032,1241292,6556,1844965,True,False,English,7-2019
CohhCarnage,112953915,11400,23464,9907,1241282,14279,2134961,True,False,English,4-2019
CohhCarnage,102629295,10125,20129,10135,1241282,5483,2073837,True,False,English,5-2019
Complexity,76235130,10050,49730,7585,76433,25557,3618957,True,False,English,2-2020
CouRageJD,91609950,8295,51243,11043,2115596,82047,1821457,False,False,English,5-2019
CouRageJD,80315850,8025,21660,10007,2115596,107545,1616486,False,False,English,8-2019
CouRageJD,80229015,9465,26380,8475,2115596,73849,1645848,False,False,English,4-2019
CouRageJD,61248525,7590,63727,8069,2115596,84235,1365177,False,False,English,7-2019
